sku,name,category_id,category_name,stock,b2b_price,site_price_est,sales_count,oem,has_image,image_count,path,source_id
ESK 030 14,KAMPANA 935 BMC PROFESYONEL BOY 30 CM,fren-kampanasi,Fren Kampanası,21,6809.99752125,8989.2,0.0,5K60512-1W,True,2,/kampana-935-bmc-profesyonel-boy-30-cm-p14649,14649
ESB 915 10-R,Scanıa Arka Disk Bijonu 102 mm Y.M. Yuvarlak Kafa,disk-bijonu-civatasi,Disk Bijonu/Civatası,2316,190.400325,251.33,0.0,1528655,True,4,/scania-arka-disk-bijonu-102-mm-y-m-yuvarlak-kafa-p14644,14644
ESC 79360,Otomatik Fren Cırcırı,otomatik-fren-circiri,Otomatik Fren Cırcırı,92,1265.0,1669.8,0.0,4731634-14721-42095-2095-70722-72320-72970-79210-81506106213-81506106153-81506106083,True,4,/otomatik-fren-circiri-p14627,14627
ESB 180 20,Bijon Dps,bijon,Bijon,12827,153.0322076884,202.0,0.0,9424010271-4012371,True,4,/bijon-dps-p14624,14624
ESK 160 02,KAMPANA OTOYOL YORK SERİN UZUN KAM 14002,fren-kampanasi,Fren Kampanası,37,5485.059228,7240.28,0.0,786450,True,2,/kampana-otoyol-york-serin-uzun-kam-14002-p14389,14389
ESB 180 10,Bijon Dps,bijon,Bijon,14696,153.0322076884,202.0,0.0,9424010371-4014171,True,4,/bijon-dps-p14367,14367
ESC 114075,FRUEHAUF,fren-circiri,Fren Cırcırı,204,943.0,1244.76,0.0,352194-31561-18883-8047-77743-100114075,True,3,/fruehauf-p14290,14290
ESC 611,Mekanik Fren Cırcırı,mekanik-fren-circiri,Mekanik Fren Cırcırı,6,943.0,1244.76,0.0,,True,4,/mekanik-fren-circiri-p14288,14288
ESC 80331,Otomatik Fren Cırcırı,otomatik-fren-circiri,Otomatik Fren Cırcırı,100,1265.0,1669.8,0.0,80092-81506106252-81506106262,True,4,/otomatik-fren-circiri-p14285,14285
ESC 79446,RENAULT OTOMATİK CIRCIR 3717 GÖVDE,fren-circiri,Fren Cırcırı,36,1265.0,1669.8,0.0,5010098862-79296-72813-4W2630-KB2630,True,4,/renault-otomatik-circir-3717-govde-p14284,14284
ESC 79447,RENAULT OTOMATİK CIRCIR 3718 GÖVDE,fren-circiri,Fren Cırcırı,44,1265.0,1669.8,0.0,KB2635-4W2635-72814- 79297-5010098863,True,4,/renault-otomatik-circir-3718-govde-p14283,14283
ESC 79358,Otomatik Fren Cırcırı,otomatik-fren-circiri,Otomatik Fren Cırcırı,73,1265.0,1669.8,0.0,4731618-14702-42070-2070-60003-72968-79208-72303-79514-81506106211-81506106235-81998033225,True,4,/otomatik-fren-circiri-p14282,14282
ESC 79359,Otomatik Fren Cırcırı,otomatik-fren-circiri,Otomatik Fren Cırcırı,74,1265.0,1669.8,0.0,81998033226-81506106166-81506106234-81506106210-79515-72304-79209-72969- 60004-2075-42075-14701-4731626,True,4,/otomatik-fren-circiri-p14281,14281
ESB 116 10-1,BİJON MERCEDES ARKA/ÖZEL-128 MM,bijon,Bijon,359,161.65435,213.38,20.0,3814011471-81455010099,True,3,/bijon-mercedes-arka-ozel-128-mm-p14279,14279
ESK 160 30,Fren Kampanası,fren-kampanasi,Fren Kampanası,3,5485.059228,7240.28,0.0,310677560-125779409,True,2,/fren-kampanasi-p14166,14166
ESK 160 43,KAMPANA SERİN ROR JUMBO 8 DELİK 360*230 TIRTILLI,fren-kampanasi,Fren Kampanası,30,3845.10064125,5075.53,0.0,Fren Kampanası,True,2,/kampana-serin-ror-jumbo-8-delik-360-230-tirtilli-p14140,14140
ESK 160 42,KAMPANA ROR JUMBO ÇAKMA 360 ÇAP,fren-kampanasi,Fren Kampanası,5,3928.488366,5185.6,1.0,Fren Kampanası,True,2,/kampana-ror-jumbo-cakma-360-cap-p14090,14090
ESC 80350,Otomatik Fren Cırcırı 427257,otomatik-fren-circiri,Otomatik Fren Cırcırı,9,1265.0,1669.8,0.0,"80200, 3777729320, 80200C",True,4,/otomatik-fren-circiri-427257-p13871,13871
ESD 020 12,Fren Diski,fren-diski,Fren Diski,112,2529.42765075,3338.84,0.0,81508030042,True,2,/fren-diski-p13870,13870
ESK 090 15,Fren Kampanası,fren-kampanasi,Fren Kampanası,266,5892.732549,7778.41,6.0,"360571 , 2378715 , 1414153",True,2,/fren-kampanasi-p13869,13869
ESD 120 03-1,FORD CARGO 1846 ÖN-ARKA ABS'Lİ FREN DİSKİ,fren-diski,Fren Diski,235,4095.2638155,5405.75,0.0,DC462A315AA,True,2,/ford-cargo-1846-on-arka-abs-li-fren-diski-p13727,13727
ESC 79455,Otomatik Fren Cırcırı,otomatik-fren-circiri,Otomatik Fren Cırcırı,9,1265.0,1669.8,0.0,14739- 4W3490- 5010260028- 72998,True,4,/otomatik-fren-circiri-p13656,13656
ESD 040 04,Fren Diski,fren-diski,Fren Diski,18,5892.732549,7778.41,0.0,5010525326,True,2,/fren-diski-p13654,13654
ESK 040 16,Fren Kampanası,fren-kampanasi,Fren Kampanası,8,6337.467081,8365.46,0.0,9C46-1126-AG,True,2,/fren-kampanasi-p13653,13653
ESK 161 01,Fren Kampanası,fren-kampanasi,Fren Kampanası,38,3845.10064125,5075.53,6.0,310946060-310946070,True,2,/fren-kampanasi-p13652,13652
ESK 160 24,Fren Kampanası,fren-kampanasi,Fren Kampanası,230,4624.2283725,6103.98,0.0,1064026001-1064026002-1064026000,True,2,/fren-kampanasi-p13651,13651
ESK 160 10,Fren Kampanası,fren-kampanasi,Fren Kampanası,30,5355.3449895,7069.06,0.0,AJB0465002-M003176-465002-449628-462869-7000085-3176,True,2,/fren-kampanasi-p13650,13650
ESK 100 02,Fren Kampanası,fren-kampanasi,Fren Kampanası,71,5170.0389345,6824.45,0.0,"284620 , 1233462 , 094903 , 595225",True,2,/fren-kampanasi-p13649,13649
ESK 010 31,Fren Kampanası,fren-kampanasi,Fren Kampanası,256,4817.95743,6359.7,0.0,3054230401,True,2,/fren-kampanasi-p13648,13648
ESB 461 10,Bijon Dps,bijon,Bijon,1260,166.0945,219.24,0.0,,True,4,/bijon-dps-p13621,13621
ESD 110 05,Fren Diski,fren-diski,Fren Diski,79,3857.735145,5092.21,0.0,"8551042, 3092710",True,1,/fren-diski-p13610,13610
ESC 80423,EKERSAN AROX-ACTROS FREN CIRCIRI 5017 GÖVDE SAĞ,fren-circiri,Fren Cırcırı,75,1265.0,1669.8,0.0,,True,4,/ekersan-arox-actros-fren-circiri-5017-govde-sag-p13590,13590
ESC 80422,EKERSAN AROX-ACTROST FREN CIRCIRI 5018 GÖVDE SOL,fren-circiri,Fren Cırcırı,54,1265.0,1669.8,0.0,,True,4,/ekersan-arox-actrost-fren-circiri-5018-govde-sol-p13589,13589
ESD 080 02,SCANİA 420 ÖN-ARKA FREN DİSKİ MAÇASIZ DOLU,fren-diski,Fren Diski,4,4123.05972375,5442.44,0.0,"1386686, 1402272, 1852817, K000510, K000810",True,2,/scania-420-on-arka-fren-diski-macasiz-dolu-p13537,13537
ESD 130 06,DİSK ISUZU N-SERİE NQR ÖN 70/75/ EURO 6,fren-diski,Fren Diski,2,2974.16218275,3925.89,0.0,8971686321 - 8982488950,True,2,/disk-isuzu-n-serie-nqr-on-70-75-euro-6-p11718,11718
ESK 161 07,Fren Kampanası,fren-kampanasi,Fren Kampanası,174,4299.100476,5674.81,2.0,Fren Kampanası,True,2,/fren-kampanasi-p5093,5093
ESK 161 02,KAMPANA SERTEL L4 JUMBO G18-B26,fren-kampanasi,Fren Kampanası,11,3845.10064125,5075.53,0.0,Fren Kampanası,True,2,/kampana-sertel-l4-jumbo-g18-b26-p5092,5092
ESK 160 87,KAMPANA SERTEL K-4 420-200-246 ÇAKMA 687 (PORYA T-4),fren-kampanasi,Fren Kampanası,149,4657.9203825,6148.45,0.0,Fren Kampanası,True,2,/kampana-sertel-k-4-420-200-246-cakma-687-porya-t-4-p5091,5091
ESK 160 82,KAMPANA OSMAN KOÇ K-1 (10 DELİK),fren-kampanasi,Fren Kampanası,177,5373.875595,7093.52,0.0,K01,True,2,/kampana-osman-koc-k-1-10-delik-p5090,5090
ESK 160 74,KAMPANA BPW 20 CM SIKMA SOMUNLU,fren-kampanasi,Fren Kampanası,20,4892.079852,6457.55,0.0,310677570-310977160-310977770,True,2,/kampana-bpw-20-cm-sikma-somunlu-p5089,5089
ESK 160 61,Fren Kampanası,fren-kampanasi,Fren Kampanası,57,5299.753173,6995.67,0.0,Fren Kampanası,True,2,/fren-kampanasi-p5086,5086
ESK 160 53,KAMPANA 42*22 DORSE SIKMA SERTEL T-5 EM G28-B28,fren-kampanasi,Fren Kampanası,195,5373.875595,7093.52,0.0,2812,True,2,/kampana-42-22-dorse-sikma-sertel-t-5-em-g28-b28-p5084,5084
ESK 160 32,KAMPANA ALTINORDU JUMBO G180 10 DELİK ALTI DÜZ,fren-kampanasi,Fren Kampanası,22,3557.876256,4696.4,0.0,Fren Kampanası,True,2,/kampana-altinordu-jumbo-g180-10-delik-alti-duz-p5080,5080
ESK 160 29-S,Fren Kampanası,fren-kampanasi,Fren Kampanası,1242,4312.57728,5692.6,20.0,52809,True,2,/fren-kampanasi-p5079,5079
ESK 160 22,Fren Kampanası,fren-kampanasi,Fren Kampanası,8,4901.34515475,6469.78,0.0,21220183-22222978-22224179,True,2,/fren-kampanasi-p5077,5077
ESK 160 21,KAMPANA 360 ÇAP ROR JUMBO SOMUNLU,fren-kampanasi,Fren Kampanası,31,3928.488366,5185.6,0.0,Fren Kampanası,True,2,/kampana-360-cap-ror-jumbo-somunlu-p5076,5076
ESK 160 18,Fren Kampanası,fren-kampanasi,Fren Kampanası,38,4354.688325,5748.19,0.0,"310967820 , 310967130",True,2,/fren-kampanasi-p5075,5075
ESK 160 15,KAMPANA BPW ORJINAL (290) 6 DELİK,fren-kampanasi,Fren Kampanası,10,4614.1207695,6090.64,0.0,Fren Kampanası,True,2,/kampana-bpw-orjinal-290-6-delik-p5073,5073
ESK 160 12,Fren Kampanası,fren-kampanasi,Fren Kampanası,59,5559.18165,7338.12,0.0,A1561800-AJA0489001-AJA0489002-1014079-1561800-3127017189-489002-489001-AJA0595001-21419,True,2,/fren-kampanasi-p5072,5072
ESK 150 05,KAMPANA OTOKAR SULTAN E.M. ÖN,fren-kampanasi,Fren Kampanası,40,3826.57003575,5051.07,0.0,13C0521 AD - 13C25 - 05109AA - 132505109,True,2,/kampana-otokar-sultan-e-m-on-p5066,5066
ESK 150 04,KAMPANA OTOKAR SULTAN Y.M.ÖN-ARKA,fren-kampanasi,Fren Kampanası,45,3706.1211,4892.08,1.0,13C00 050021 AD,True,2,/kampana-otokar-sultan-y-m-on-arka-p5065,5065
ESK 140 03-K,Fren Kampanası,fren-kampanasi,Fren Kampanası,66,5855.671338,7729.49,0.0,5010098949,True,2,/fren-kampanasi-p5063,5063
ESK 140 03,Fren Kampanası,fren-kampanasi,Fren Kampanası,242,5855.671338,7729.49,0.0,5010098949,True,2,/fren-kampanasi-p5062,5062
ESK 110 25,Fren Kampanası,fren-kampanasi,Fren Kampanası,745,5781.548916,7631.64,0.0,"1075306 , 21451966",True,2,/fren-kampanasi-p5060,5060
ESK 110 23,Fren Kampanası,fren-kampanasi,Fren Kampanası,209,6930.446457,9148.19,0.0,1075310,True,2,/fren-kampanasi-p5059,5059
ESK 110 22,Fren Kampanası BMC NO: 5205P42706M-1,fren-kampanasi,Fren Kampanası,285,6522.773136,8610.06,0.0,7421451973-7420713927-20713927-21508812-21451967-21094123-3171747-1075309,True,2,/fren-kampanasi-bmc-no-5205p42706m-1-p5058,5058
ESK 100 01,Fren Kampanası,fren-kampanasi,Fren Kampanası,136,7152.813723,9441.71,0.0,365579,True,2,/fren-kampanasi-p5057,5057
ESK 090 02,Fren Kampanası,fren-kampanasi,Fren Kampanası,124,7894.037943,10420.13,0.0,360573-1414435,True,2,/fren-kampanasi-p5055,5055
ESK 080 05,Fren Kampanası,fren-kampanasi,Fren Kampanası,166,2631.345981,3473.38,0.0,MK 321338,True,2,/fren-kampanasi-p5050,5050
ESK 080 04,Fren Kampanası,fren-kampanasi,Fren Kampanası,24,4817.95743,6359.7,0.0,MC 828885,True,2,/fren-kampanasi-p5049,5049
ESK 080 03,Fren Kampanası,fren-kampanasi,Fren Kampanası,44,5225.630751,6897.83,0.0,MC 828296,True,2,/fren-kampanasi-p5048,5048
ESK 070 05,Fren Kampanası,fren-kampanasi,Fren Kampanası,128,3261.386568,4305.03,0.0,"27777258002, 277772158001, 277.772.158.0-01",True,2,/fren-kampanasi-p5047,5047
ESK 070 03,KAMPANA ISUZU NQR NOR TURKUAZ ÖN-ARKA EM,fren-kampanasi,Fren Kampanası,314,3023.8578975,3991.49,0.0,8971020011-51,True,2,/kampana-isuzu-nqr-nor-turkuaz-on-arka-em-p5046,5046
ESK 070 02,Fren Kampanası,fren-kampanasi,Fren Kampanası,135,2686.9377975,3546.76,0.0,894121376107,True,2,/fren-kampanasi-p5045,5045
ESK 060 32,Fren Kampanası,fren-kampanasi,Fren Kampanası,392,6522.773136,8610.06,0.0,7183050,True,2,/fren-kampanasi-p5042,5042
ESK 060 08,Fren Kampanası,fren-kampanasi,Fren Kampanası,32,5855.671338,7729.49,0.0,7172079,True,2,/fren-kampanasi-p5041,5041
ESK 060 07,Fren Kampanası,fren-kampanasi,Fren Kampanası,40,5781.548916,7631.64,0.0,7172329,True,2,/fren-kampanasi-p5040,5040
ESK 060 06,Fren Kampanası,fren-kampanasi,Fren Kampanası,47,5855.671338,7729.49,0.0,42118427,True,2,/fren-kampanasi-p5039,5039
ESK 060 02,KAMPANA 35-9 65-9-M23-M24 İVECO,fren-kampanasi,Fren Kampanası,35,2446.039926,3228.77,2.0,7160035,True,2,/kampana-35-9-65-9-m23-m24-iveco-p5038,5038
ESK 060 01,KAMPANA 85-12 75-12 M29 İVECO,fren-kampanasi,Fren Kampanası,65,2501.6317425,3302.15,2.0,4715419,True,2,/kampana-85-12-75-12-m29-iveco-p5037,5037
ESK 050 07,KAMPANA AS26200-26235-32260 ÖN,fren-kampanasi,Fren Kampanası,2,5003.263485,6604.31,0.0,18345T,True,2,/kampana-as26200-26235-32260-on-p5036,5036
ESK 050 03,KAMPANA AS 950-26200 ARKA,fren-kampanasi,Fren Kampanası,16,4864.28394375,6420.85,0.0,23504 T,True,2,/kampana-as-950-26200-arka-p5033,5033
ESK 050 01,KAMPANA AS 900 ARKA,fren-kampanasi,Fren Kampanası,31,4864.28394375,6420.85,0.0,4833T,True,2,/kampana-as-900-arka-p5031,5031
ESK 040 13,KAMPANA CARGO 4142-4136-4139-3936-3536 ARKA CERLİ ÇİFT ÇEKER,fren-kampanasi,Fren Kampanası,169,6467.1813195,8536.68,0.0,9C461126AD,True,2,/kampana-cargo-4142-4136-4139-3936-3536-arka-cerli-cift-ceker-p5030,5030
ESK 040 12,Fren Kampanası,fren-kampanasi,Fren Kampanası,385,5818.610127,7680.57,2.0,9C46-1125-AB,True,2,/fren-kampanasi-p5029,5029
ESK 040 11,KAMPANA CARGO 2524-2530-3230 3235 SERİ TIRTIRLI 3430 ÖN,fren-kampanasi,Fren Kampanası,122,6096.5692095,8047.47,0.0,6C46 1126-AC,True,2,/kampana-cargo-2524-2530-3230-3235-seri-tirtirli-3430-on-p5028,5028
ESK 040 09,KAMPANA 2524-3227-3230 ÖN-ARKA,fren-kampanasi,Fren Kampanası,384,4678.97788875,6176.25,0.0,7C46 1125 AA,True,2,/kampana-2524-3227-3230-on-arka-p5027,5027
ESK 040 06,KAMPANA 2520 İNTERCOLL ÖN,fren-kampanasi,Fren Kampanası,137,4678.97788875,6176.25,0.0,85DB1125AB,True,2,/kampana-2520-intercoll-on-p5026,5026
ESK 040 05,KAMPANA 2520 İNTERCOLL ARKA,fren-kampanasi,Fren Kampanası,29,4678.97788875,6176.25,0.0,85DB1126AA,True,2,/kampana-2520-intercoll-arka-p5025,5025
ESK 040 04,KAMPANA TURBO CARGO ÖN,fren-kampanasi,Fren Kampanası,2,4678.97788875,6176.25,0.0,82DB1125AA,True,2,/kampana-turbo-cargo-on-p5024,5024
ESK 030 13,KAMPANA 522 PROFESYONEL F-R,fren-kampanasi,Fren Kampanası,105,4586.32486125,6053.95,0.0,57RS302616UB,True,2,/kampana-522-profesyonel-f-r-p5020,5020
ESK 030 12,KAMPANA PRO 940/270 FATİH F-R SOĞUTMALI 22 CM,fren-kampanasi,Fren Kampanası,83,5892.732549,7778.41,0.0,5K 60512,True,2,/kampana-pro-940-270-fatih-f-r-sogutmali-22-cm-p5019,5019
ESK 030 11,KAMPANA 170 FATİH F-R,fren-kampanasi,Fren Kampanası,10,5466.5286225,7215.82,0.0,5K 56770,True,2,/kampana-170-fatih-f-r-p5018,5018
ESK 030 08,KAMPANA 220.26 DEV-822-827 PRO 20 CM,fren-kampanasi,Fren Kampanası,422,5299.753173,6995.67,6.0,5K 16448,True,2,/kampana-220-26-dev-822-827-pro-20-cm-p5016,5016
ESK 030 05,Fren Kampanası BMC NO: 5K88968M,fren-kampanasi,Fren Kampanası,35,5355.3449895,7069.06,0.0,518782 - 5K88962M - 5K88968 - 5K59690,True,2,/fren-kampanasi-bmc-no-5k88968m-p5014,5014
ESK 030 04,KAMPANA 200.26 İNT.İNCE FLANŞ,fren-kampanasi,Fren Kampanası,9,5466.5286225,7215.82,0.0,5K 18782,True,2,/kampana-200-26-int-ince-flans-p5013,5013
