"id","slug","name","sku","oem","brand","category","group","stock","price","seoUrl"
"28","mercedes-v-8-otobus-on-circir-r-l-esc-72209-ekersan","MERCEDES V-8 OTOBÜS ÖN CIRCIR R-L","ESC 72209","3574200538-72059-42040-14707-14708-2040-4731188","Ekersan","Fren Cırcırı","CIRCIR","30","1452","https://frenciniz.com/urun/28/mercedes-v-8-otobus-on-circir-r-l-esc-72209-ekersan"
"29","yte-dingil-oztreyler-esb-3100-10-ekersan","Yte Dingil (Öztreyler)","ESB 3100 10","Yte Dingil (Öztreyler)","Ekersan","Bijon","BİJON","20","199.31","https://frenciniz.com/urun/29/yte-dingil-oztreyler-esb-3100-10-ekersan"
"30","bijon-iveco-eurocargo-stralis-esb-612-10-ekersan","Bijon Iveco Eurocargo Stralis","ESB 612 10","7168333","Ekersan","Bijon","BİJON","344","134.7","https://frenciniz.com/urun/30/bijon-iveco-eurocargo-stralis-esb-612-10-ekersan"
"31","cargo-115-mm-frezeli-esb-425-10-ekersan","Cargo 115 mm Frezeli","ESB 425 10","","Ekersan","Bijon","BİJON","1050","218.55","https://frenciniz.com/urun/31/cargo-115-mm-frezeli-esb-425-10-ekersan"
"32","bijon-axor-actros-arka-92-mm-dakromatli-esb-180-10-3-ekersan","BİJON AXOR-ACTROS ARKA 92 MM DAKROMATLI","ESB 180 10-3","9424010371","Ekersan","Bijon","BİJON","100","196.28","https://frenciniz.com/urun/32/bijon-axor-actros-arka-92-mm-dakromatli-esb-180-10-3-ekersan"
"33","bijon-mercedes-arka-105-mm-dps-li-esb-112-10-1-ekersan","BİJON MERCEDES ARKA-105 MM DPS Lİ","ESB 112 10-1","3554010071-3814010671","Ekersan","Bijon","BİJON","250","178.06","https://frenciniz.com/urun/33/bijon-mercedes-arka-105-mm-dps-li-esb-112-10-1-ekersan"
"34","kampana-sertel-t-3-esk-160-62-ekersan","KAMPANA SERTEL T-3","ESK 160 62","Fren Kampanası","Ekersan","Fren Kampanası","KAMPANA","11","4977.16","https://frenciniz.com/urun/34/kampana-sertel-t-3-esk-160-62-ekersan"
"35","kampana-bpw-18-cm-sikma-esk-160-18-s-ekersan","KAMPANA BPW 18 CM SIKMA","ESK 160 18-S","310667620-310967820-310967130","Ekersan","Fren Kampanası","KAMPANA","6","4998.43","https://frenciniz.com/urun/35/kampana-bpw-18-cm-sikma-esk-160-18-s-ekersan"
"36","kampana-ror-dorse-esk-160-57-ekersan","KAMPANA ROR DORSE","ESK 160 57","21018986-6041810-21018986V","Ekersan","Fren Kampanası","KAMPANA","32","5998.12","https://frenciniz.com/urun/36/kampana-ror-dorse-esk-160-57-ekersan"
"37","kampana-renault-kerax-esk-140-05-ekersan","KAMPANA RENAULT KERAX","ESK 140 05","5010260663","Ekersan","Fren Kampanası","KAMPANA","52","6359.7","https://frenciniz.com/urun/37/kampana-renault-kerax-esk-140-05-ekersan"
"38","fren-kampanasi-esk-140-04-ekersan","Fren Kampanası","ESK 140 04","189923","Ekersan","Fren Kampanası","KAMPANA","204","6147","https://frenciniz.com/urun/38/fren-kampanasi-esk-140-04-ekersan"
"39","kampana-mitsubishi-304-515-arka-esk-080-08-ekersan","KAMPANA MITSUBISHI 304-515 ARKA","ESK 080 08","MB 060500","Ekersan","Fren Kampanası","KAMPANA","14","2424.77","https://frenciniz.com/urun/39/kampana-mitsubishi-304-515-arka-esk-080-08-ekersan"
"40","1833-1842-4142-cargo-on-esk-040-17-ekersan","1833-1842-4142- Cargo ÖN","ESK 040 17","","Ekersan","Fren Kampanası","KAMPANA","2","6678.75","https://frenciniz.com/urun/40/1833-1842-4142-cargo-on-esk-040-17-ekersan"
"41","volvo-kucuk-fh-12-410-cap-macasiz-dolu-fren-diski-esd-110-02-ekersan","VOLVO KÜÇÜK  FH 12 (410 ÇAP) MAÇASIZ DOLU FREN DİSKİ","ESD 110 02","8551042, 3092710","Ekersan","Fren Diski","DİSK","44","4234.65","https://frenciniz.com/urun/41/volvo-kucuk-fh-12-410-cap-macasiz-dolu-fren-diski-esd-110-02-ekersan"
"42","disk-man-tga-on-macasiz-esd-020-20-ekersan","DİSK MAN TGA ÖN MAÇASIZ","ESD 020 20","Fren Diski","Ekersan","Fren Diski","DİSK","11","5360.02","https://frenciniz.com/urun/42/disk-man-tga-on-macasiz-esd-020-20-ekersan"
"43","fren-diski-man-tga-tgs-tgx-esd-020-17-ekersan","Fren Diski MAN TGA TGS TGX","ESD 020 17","81508030027, 81508030020, 81508030057, II39290F","Ekersan","Fren Diski","DİSK","50","4519.86","https://frenciniz.com/urun/43/fren-diski-man-tga-tgs-tgx-esd-020-17-ekersan"
"44","disk-tga-man-arka-dolu-esd-020-06-ekersan","DİSK TGA MAN ARKA DOLU","ESD 020 06","Fren Diski","Ekersan","Fren Diski","DİSK","15","5487.64","https://frenciniz.com/urun/44/disk-tga-man-arka-dolu-esd-020-06-ekersan"
"45","otomatik-fren-circiri-renault-premium-magnum-kerax-midlum-esc-79164-ekersan","Otomatik Fren Cırcırı Renault Premium Magnum Kerax Midlum","ESC 79164","4W2230-KB2230-RV 44059-5010056686-5010056686-5000789893-6310025-6310025-	72161-14544-14607","Ekersan","Otomatik Fren Cırcırı","CIRCIR","13","1452","https://frenciniz.com/urun/45/otomatik-fren-circiri-renault-premium-magnum-kerax-midlum-esc-79164-ekersan"
"46","otomatik-fren-circiri-renault-premium-magnum-kerax-midlum-esc-79163-ekersan","Otomatik Fren Cırcırı Renault Premium Magnum Kerax Midlum","ESC 79163","14608-14543-72160-6310024-6310024-5000789892-5010056685-5010056685-RV 44058-KB2240-	4W2240","Ekersan","Otomatik Fren Cırcırı","CIRCIR","13","1452","https://frenciniz.com/urun/46/otomatik-fren-circiri-renault-premium-magnum-kerax-midlum-esc-79163-ekersan"
"47","ekersan-otomatik-fren-circiri-esc-79439-ekersan","EKERSAN OTOMATİK FREN CIRCIRI","ESC 79439","5010098832-2910-14816-42910-72741","Ekersan","Otomatik Fren Cırcırı","CIRCIR","18","1452","https://frenciniz.com/urun/47/ekersan-otomatik-fren-circiri-esc-79439-ekersan"
"48","otomatik-fren-circiri-renault-midlum-premium-magnum-esc-79438-ekersan","Otomatik Fren Cırcırı Renault Midlum Premium Magnum","ESC 79438","72740-14815-2905-5010098831","Ekersan","Otomatik Fren Cırcırı","CIRCIR","16","1452","https://frenciniz.com/urun/48/otomatik-fren-circiri-renault-midlum-premium-magnum-esc-79438-ekersan"
"49","mekanik-fren-circiri-5-delik-10-kanal-esc-1721-ekersan","Mekanik Fren Cırcırı 5 Delik 10 Kanal","ESC 1721","46404-201-	5968-24090-713930-9319019-106001721-517452610-2100200701-1041010068-4335010290","Ekersan","Mekanik Fren Cırcırı","CIRCIR","26","1082.4","https://frenciniz.com/urun/49/mekanik-fren-circiri-5-delik-10-kanal-esc-1721-ekersan"
"50","12-153-man-on-58-mm-esb-230-20-ekersan","12-153 Man Ön 58 MM","ESB 230 20","81455010116-81455010152","Ekersan","Bijon","BİJON","2487","163.57","https://frenciniz.com/urun/50/12-153-man-on-58-mm-esb-230-20-ekersan"
"51","otomatik-fren-circiri-mercedes-actros-axor-atego-sk-esc-80159-ekersan","Otomatik Fren Cırcırı Mercedes Actros Axor Atego SK","ESC 80159","6234201538-6234201338-6194200338-6194200138-1662201-4731204-4731337-4731790-4731303-10644-2145-2050-14718-42145-42050-42990-7223","Ekersan","Otomatik Fren Cırcırı","CIRCIR","362","1452","https://frenciniz.com/urun/51/otomatik-fren-circiri-mercedes-actros-axor-atego-sk-esc-80159-ekersan"
"52","otomatik-fren-circiri-mercedes-actros-axor-atego-sk-esc-80158-ekersan","Otomatik Fren Cırcırı Mercedes Actros Axor Atego SK","ESC 80158","4731329-4731196-1662200-6194200038-6194200238-6234201238-6234201438-6584200238-6524200038-4335767100-4335767120-4335767240-94242","Ekersan","Otomatik Fren Cırcırı","CIRCIR","300","1452","https://frenciniz.com/urun/52/otomatik-fren-circiri-mercedes-actros-axor-atego-sk-esc-80158-ekersan"
"53","kampana-935-bmc-profesyonel-boy-30-cm-esk-030-14-ekersan","KAMPANA 935 BMC PROFESYONEL BOY 30 CM","ESK 030 14","5K60512-1W","Ekersan","Fren Kampanası","KAMPANA","45","7816.69","https://frenciniz.com/urun/53/kampana-935-bmc-profesyonel-boy-30-cm-esk-030-14-ekersan"
"54","bijon-scania-volvo-esb-915-10-r-ekersan","Bijon Scania Volvo","ESB 915 10-R","1528655","Ekersan","Bijon","BİJON","3156","218.55","https://frenciniz.com/urun/54/bijon-scania-volvo-esb-915-10-r-ekersan"
"55","otomatik-fren-circiri-man-tga-tgs-tgx-esc-79360-ekersan","Otomatik Fren Cırcırı MAN TGA TGS TGX","ESC 79360","4731634-14721-42095-2095-70722-72320-72970-79210-81506106213-81506106153-81506106083","Ekersan","Otomatik Fren Cırcırı","CIRCIR","92","1452","https://frenciniz.com/urun/55/otomatik-fren-circiri-man-tga-tgs-tgx-esc-79360-ekersan"
"56","bijon-mercedes-actros-axor-atego-esb-180-20-ekersan","Bijon Mercedes Actros Axor Atego","ESB 180 20","9424010271-4012371","Ekersan","Bijon","BİJON","8489","183.64","https://frenciniz.com/urun/56/bijon-mercedes-actros-axor-atego-esb-180-20-ekersan"
"57","kampana-otoyol-york-serin-uzun-kam-14002-esk-160-02-ekersan","KAMPANA OTOYOL YORK SERİN UZUN    KAM 14002","ESK 160 02","786450","Ekersan","Fren Kampanası","KAMPANA","39","6295.89","https://frenciniz.com/urun/57/kampana-otoyol-york-serin-uzun-kam-14002-esk-160-02-ekersan"
"58","bijon-mercedes-actros-axor-atego-esb-180-10-ekersan","Bijon Mercedes Actros Axor Atego","ESB 180 10","9424010371-4014171","Ekersan","Bijon","BİJON","5284","183.64","https://frenciniz.com/urun/58/bijon-mercedes-actros-axor-atego-esb-180-10-ekersan"
"59","bijon-man-tga-tgs-tgx-esb-194-20-ekersan","Bijon MAN TGA TGS TGX","ESB 194 20","3894010071-81455010114-81455010133-81455010163","Ekersan","Bijon","BİJON","1590","183.64","https://frenciniz.com/urun/59/bijon-man-tga-tgs-tgx-esb-194-20-ekersan"
"60","fruehauf-esc-114075-ekersan","FRUEHAUF","ESC 114075","352194-31561-18883-8047-77743-100114075","Ekersan","Fren Cırcırı","CIRCIR","204","1082.4","https://frenciniz.com/urun/60/fruehauf-esc-114075-ekersan"
"61","mekanik-fren-circiri-esc-611-ekersan","Mekanik Fren Cırcırı","ESC 611","","Ekersan","Mekanik Fren Cırcırı","CIRCIR","6","1082.4","https://frenciniz.com/urun/61/mekanik-fren-circiri-esc-611-ekersan"
"62","otomatik-fren-circiri-man-tga-tgs-tgx-esc-80331-ekersan","Otomatik Fren Cırcırı MAN TGA TGS TGX","ESC 80331","80092-81506106252-81506106262","Ekersan","Otomatik Fren Cırcırı","CIRCIR","114","1452","https://frenciniz.com/urun/62/otomatik-fren-circiri-man-tga-tgs-tgx-esc-80331-ekersan"
"63","renault-otomatik-circir-3717-govde-esc-79446-ekersan","RENAULT OTOMATİK CIRCIR 3717 GÖVDE","ESC 79446","5010098862-79296-72813-4W2630-KB2630","Ekersan","Fren Cırcırı","CIRCIR","43","1452","https://frenciniz.com/urun/63/renault-otomatik-circir-3717-govde-esc-79446-ekersan"
"64","renault-otomatik-circir-3718-govde-esc-79447-ekersan","RENAULT OTOMATİK CIRCIR 3718 GÖVDE","ESC 79447","KB2635-4W2635-72814-	79297-5010098863","Ekersan","Fren Cırcırı","CIRCIR","51","1452","https://frenciniz.com/urun/64/renault-otomatik-circir-3718-govde-esc-79447-ekersan"
"65","otomatik-fren-circiri-man-tga-tgs-tgx-esc-79358-ekersan","Otomatik Fren Cırcırı MAN TGA TGS TGX","ESC 79358","4731618-14702-42070-2070-60003-72968-79208-72303-79514-81506106211-81506106235-81998033225","Ekersan","Otomatik Fren Cırcırı","CIRCIR","85","1452","https://frenciniz.com/urun/65/otomatik-fren-circiri-man-tga-tgs-tgx-esc-79358-ekersan"
"66","otomatik-fren-circiri-man-tga-tgs-tgx-esc-79359-ekersan","Otomatik Fren Cırcırı MAN TGA TGS TGX","ESC 79359","81998033226-81506106166-81506106234-81506106210-79515-72304-79209-72969-	60004-2075-42075-14701-4731626","Ekersan","Otomatik Fren Cırcırı","CIRCIR","86","1452","https://frenciniz.com/urun/66/otomatik-fren-circiri-man-tga-tgs-tgx-esc-79359-ekersan"
"67","bijon-mercedes-arka-ozel-128-mm-esb-116-10-1-ekersan","BİJON MERCEDES ARKA/ÖZEL-128 MM","ESB 116 10-1","3814011471-81455010099","Ekersan","Bijon","BİJON","369","193.99","https://frenciniz.com/urun/67/bijon-mercedes-arka-ozel-128-mm-esb-116-10-1-ekersan"
"68","fren-kampanasi-bpw-ecoplus-esk-160-30-ekersan","Fren Kampanası BPW ECOPlus","ESK 160 30","310677560-125779409","Ekersan","Fren Kampanası","KAMPANA","3","6295.89","https://frenciniz.com/urun/68/fren-kampanasi-bpw-ecoplus-esk-160-30-ekersan"
"69","kampana-serin-ror-jumbo-8-delik-360-230-tirtilli-esk-160-43-ekersan","KAMPANA SERİN ROR JUMBO 8 DELİK 360*230 TIRTILLI","ESK 160 43","Fren Kampanası","Ekersan","Fren Kampanası","KAMPANA","8","4413.51","https://frenciniz.com/urun/69/kampana-serin-ror-jumbo-8-delik-360-230-tirtilli-esk-160-43-ekersan"
"70","kampana-ror-jumbo-cakma-360-cap-esk-160-42-ekersan","KAMPANA ROR JUMBO ÇAKMA 360 ÇAP","ESK 160 42","Fren Kampanası","Ekersan","Fren Kampanası","KAMPANA","11","4509.22","https://frenciniz.com/urun/70/kampana-ror-jumbo-cakma-360-cap-esk-160-42-ekersan"
"71","otomatik-fren-circiri-427257-esc-80350-ekersan","Otomatik Fren Cırcırı 427257","ESC 80350","80200, 3777729320, 80200C","Ekersan","Otomatik Fren Cırcırı","CIRCIR","10","1452","https://frenciniz.com/urun/71/otomatik-fren-circiri-427257-esc-80350-ekersan"
"72","fren-diski-man-tga-tgs-tgx-esd-020-12-ekersan","Fren Diski MAN TGA TGS TGX","ESD 020 12","81508030042","Ekersan","Fren Diski","DİSK","167","2903.34","https://frenciniz.com/urun/72/fren-diski-man-tga-tgs-tgx-esd-020-12-ekersan"
"73","fren-kampanasi-esk-090-15-ekersan","Fren Kampanası","ESK 090 15","360571 , 2378715 , 1414153","Ekersan","Fren Kampanası","KAMPANA","231","6763.83","https://frenciniz.com/urun/73/fren-kampanasi-esk-090-15-ekersan"
"74","ford-cargo-1846-on-arka-abs-li-fren-diski-esd-120-03-1-ekersan","FORD CARGO 1846 ÖN-ARKA ABS'Lİ FREN DİSKİ","ESD 120 03-1","DC462A315AA","Ekersan","Fren Diski","DİSK","223","4700.65","https://frenciniz.com/urun/74/ford-cargo-1846-on-arka-abs-li-fren-diski-esd-120-03-1-ekersan"
"75","otomatik-fren-circiri-renault-midlum-premium-magnum-esc-79455-ekersan","Otomatik Fren Cırcırı Renault Midlum Premium Magnum","ESC 79455","14739- 4W3490- 5010260028- 72998","Ekersan","Otomatik Fren Cırcırı","CIRCIR","10","1452","https://frenciniz.com/urun/75/otomatik-fren-circiri-renault-midlum-premium-magnum-esc-79455-ekersan"
"76","fren-diski-renault-midlum-premium-magnum-esd-040-04-ekersan","Fren Diski Renault Midlum Premium Magnum","ESD 040 04","5010525326","Ekersan","Fren Diski","DİSK","34","6763.83","https://frenciniz.com/urun/76/fren-diski-renault-midlum-premium-magnum-esd-040-04-ekersan"
"77","fren-kampanasi-ford-cargo-1833-1846-2532-3232-esk-040-16-ekersan","Fren Kampanası Ford Cargo 1833 1846 2532 3232","ESK 040 16","9C46-1126-AG","Ekersan","Fren Kampanası","KAMPANA","14","7274.31","https://frenciniz.com/urun/77/fren-kampanasi-ford-cargo-1833-1846-2532-3232-esk-040-16-ekersan"
"78","fren-kampanasi-bpw-ecoplus-esk-161-01-ekersan","Fren Kampanası BPW ECOPlus","ESK 161 01","310946060-310946070","Ekersan","Fren Kampanası","KAMPANA","15","4413.51","https://frenciniz.com/urun/78/fren-kampanasi-bpw-ecoplus-esk-161-01-ekersan"
"79","fren-kampanasi-saf-holland-esk-160-24-ekersan","Fren Kampanası SAF Holland","ESK 160 24","1064026001-1064026002-1064026000","Ekersan","Fren Kampanası","KAMPANA","69","5307.81","https://frenciniz.com/urun/79/fren-kampanasi-saf-holland-esk-160-24-ekersan"
"80","fren-kampanasi-dorse-treyler-esk-160-10-ekersan","Fren Kampanası Dorse Treyler","ESK 160 10","AJB0465002-M003176-465002-449628-462869-7000085-3176","Ekersan","Fren Kampanası","KAMPANA","9","6147","https://frenciniz.com/urun/80/fren-kampanasi-dorse-treyler-esk-160-10-ekersan"
"81","fren-kampanasi-esk-100-02-ekersan","Fren Kampanası","ESK 100 02","284620 , 1233462 , 094903 , 595225","Ekersan","Fren Kampanası","KAMPANA","77","5934.31","https://frenciniz.com/urun/81/fren-kampanasi-esk-100-02-ekersan"
"82","fren-kampanasi-mercedes-actros-axor-atego-esk-010-31-ekersan","Fren Kampanası Mercedes Actros Axor Atego","ESK 010 31","3054230401","Ekersan","Fren Kampanası","KAMPANA","102","5530.18","https://frenciniz.com/urun/82/fren-kampanasi-mercedes-actros-axor-atego-esk-010-31-ekersan"
"83","bijon-esb-461-10-ekersan","Bijon","ESB 461 10","","Ekersan","Bijon","BİJON","3020","199.31","https://frenciniz.com/urun/83/bijon-esb-461-10-ekersan"
"84","fren-diski-volvo-fh-fm-fl-esd-110-05-ekersan","Fren Diski Volvo FH FM FL","ESD 110 05","8551042, 3092710","Ekersan","Fren Diski","DİSK","79","4428.01","https://frenciniz.com/urun/84/fren-diski-volvo-fh-fm-fl-esd-110-05-ekersan"
"85","ekersan-arox-actros-fren-circiri-5017-govde-sag-esc-80423-ekersan","EKERSAN AROX-ACTROS FREN CIRCIRI 5017 GÖVDE SAĞ","ESC 80423","","Ekersan","Fren Cırcırı","CIRCIR","41","1452","https://frenciniz.com/urun/85/ekersan-arox-actros-fren-circiri-5017-govde-sag-esc-80423-ekersan"
"86","ekersan-arox-actrost-fren-circiri-5018-govde-sol-esc-80422-ekersan","EKERSAN AROX-ACTROST FREN CIRCIRI 5018 GÖVDE SOL","ESC 80422","","Ekersan","Fren Cırcırı","CIRCIR","4","1452","https://frenciniz.com/urun/86/ekersan-arox-actrost-fren-circiri-5018-govde-sol-esc-80422-ekersan"
"87","scania-420-on-arka-fren-diski-macasiz-dolu-esd-080-02-ekersan","SCANİA 420 ÖN-ARKA FREN DİSKİ MAÇASIZ DOLU","ESD 080 02","1386686, 1402272, 1852817, K000510, K000810","Ekersan","Fren Diski","DİSK","12","4732.56","https://frenciniz.com/urun/87/scania-420-on-arka-fren-diski-macasiz-dolu-esd-080-02-ekersan"
"88","disk-isuzu-n-serie-nqr-on-70-75-euro-6-esd-130-06-ekersan","DİSK ISUZU N-SERİE NQR ÖN 70/75/ EURO 6","ESD 130 06","8971686321 - 8982488950","Ekersan","Fren Diski","DİSK","2","3413.82","https://frenciniz.com/urun/88/disk-isuzu-n-serie-nqr-on-70-75-euro-6-esd-130-06-ekersan"
"89","fren-kampanasi-esk-161-07-ekersan","Fren Kampanası","ESK 161 07","Fren Kampanası","Ekersan","Fren Kampanası","KAMPANA","200","4934.62","https://frenciniz.com/urun/89/fren-kampanasi-esk-161-07-ekersan"
