"priority","type","url","reason"
"99","product","https://www.frenciniz.com/urun/72/fren-diski-man-l2000-tgl-tgm-esd-020-12-ekersan","Fren Diski MAN L2000 TGL TGM | ESD 020 12 | sales-priority-1"
"100","product","https://www.frenciniz.com/urun/233/fren-diski-mercedes-actros-axor-esd-010-03-ekersan","Fren Diski Mercedes Actros Axor | ESD 010 03 | sales-priority-1"
"101","product","https://www.frenciniz.com/urun/198/fren-diski-bpw-ecoplus-esd-070-05-ekersan","Fren Diski BPW ECOPlus | ESD 070 05 | sales-priority-1"
"102","product","https://www.frenciniz.com/urun/196/fren-diski-bpw-ecoplus-esd-070-07-ekersan","Fren Diski BPW ECOPlus | ESD 070 07 | sales-priority-1"
"103","product","https://www.frenciniz.com/urun/222/fren-diski-man-tgl-esd-020-13-ekersan","Fren Diski MAN TGL | ESD 020 13 | sales-priority-1"
"104","product","https://www.frenciniz.com/urun/195/fren-diski-bpw-ecoplus-esd-070-10-ekersan","Fren Diski BPW ECOPlus | ESD 070 10 | sales-priority-1"
"105","product","https://www.frenciniz.com/urun/235/fren-diski-mercedes-actros-axor-esd-010-01-ekersan","Fren Diski Mercedes Actros Axor | ESD 010 01 | sales-priority-1"
"106","product","https://www.frenciniz.com/urun/187/fren-diski-saf-holland-esd-070-22-ekersan","Fren Diski SAF Holland | ESD 070 22 | sales-priority-1"
"107","product","https://www.frenciniz.com/urun/97/fren-kampanasi-esk-160-29-s-esk-160-29-s-ekersan","Fren Kampanası ESK 160 29 S | ESK 160 29-S | sales-priority-1"
"108","product","https://www.frenciniz.com/urun/133/fren-kampanasi-ford-cargo-esk-040-12-ekersan","Fren Kampanası Ford Cargo | ESK 040 12 | sales-priority-1"
"109","product","https://www.frenciniz.com/urun/135/fren-kampanasi-ford-cargo-on-arka-2524-3227-3230-esk-040-09-ekersan","Fren Kampanası Ford Cargo Ön Arka 2524-3227-3230 | ESK 040 09 | sales-priority-1"
"110","product","https://www.frenciniz.com/urun/153/fren-kampanasi-mercedes-actros-axor-esk-010-41-ekersan","Fren Kampanası Mercedes Actros Axor | ESK 010 41 | sales-priority-1"
"111","product","https://www.frenciniz.com/urun/271/fren-kampanasi-esk-070-12-esk-070-12-ekersan","Fren Kampanası ESK 070 12 | ESK 070 12 | sales-priority-1"
"112","product","https://www.frenciniz.com/urun/73/fren-kampanasi-esk-090-15-esk-090-15-ekersan","Fren Kampanası ESK 090 15 | ESK 090 15 | sales-priority-1"
"113","product","https://www.frenciniz.com/urun/114/fren-kampanasi-esk-090-02-esk-090-02-ekersan","Fren Kampanası ESK 090 02 | ESK 090 02 | sales-priority-1"
"114","product","https://www.frenciniz.com/urun/272/fren-kampanasi-esk-070-11-esk-070-11-ekersan","Fren Kampanası ESK 070 11 | ESK 070 11 | sales-priority-1"
"115","product","https://www.frenciniz.com/urun/38/fren-kampanasi-esk-140-04-esk-140-04-ekersan","Fren Kampanası ESK 140 04 | ESK 140 04 | sales-priority-1"
"116","product","https://www.frenciniz.com/urun/111/fren-kampanasi-esk-110-23-esk-110-23-ekersan","Fren Kampanası ESK 110 23 | ESK 110 23 | sales-priority-1"
"117","product","https://www.frenciniz.com/urun/89/fren-kampanasi-esk-161-07-esk-161-07-ekersan","Fren Kampanası ESK 161 07 | ESK 161 07 | sales-priority-1"
"118","product","https://www.frenciniz.com/urun/264/fren-kampanasi-bpw-ecoplus-esk-230-05-ekersan","Fren Kampanası BPW ECOPlus | ESK 230 05 | sales-priority-1"
"119","product","https://www.frenciniz.com/urun/120/fren-kampanasi-esk-070-05-esk-070-05-ekersan","Fren Kampanası ESK 070 05 | ESK 070 05 | sales-priority-1"
"120","product","https://www.frenciniz.com/urun/134/fren-kampanasi-ford-cargo-on-2524-2530-3230-3235-3430-esk-040-11-ekersan","Fren Kampanası Ford Cargo Ön 2524-2530-3230 3235 3430 | ESK 040 11 | sales-priority-1"
"121","product","https://www.frenciniz.com/urun/657/disk-balatasi-mercedes-actros-axor-42182-1-300-ekersan","Disk Balatası Mercedes Actros Axor | 42182/1-300 | sales-priority-1"
"122","product","https://www.frenciniz.com/urun/481/fren-balatasi-mercedes-actros-axor-pwr-k004-ekersan","Fren Balatası Mercedes Actros Axor | PWR-K004 | sales-priority-1"
"123","product","https://www.frenciniz.com/urun/1026/disk-balatasi-bpw-42200-7-290-ekersan","Disk Balatası BPW | 42200/7-290 | sales-priority-1"
"124","product","https://www.frenciniz.com/urun/479/fren-balatasi-mercedes-actros-axor-pwr-k006-ekersan","Fren Balatası Mercedes Actros Axor | PWR-K006 | sales-priority-1"
"125","product","https://www.frenciniz.com/urun/483/fren-balatasi-bpw-ecoplus-pwr-k002-ekersan","Fren Balatası BPW ECOPlus | PWR-K002 | sales-priority-1"
"126","product","https://www.frenciniz.com/urun/727/fren-balatasi-knorr-wabco-meritor-pwr-5013-ekersan","Fren Balatası Knorr WABCO Meritor | PWR-5013 | sales-priority-1"
"127","product","https://www.frenciniz.com/urun/670/disk-balatasi-mercedes-actros-axor-42310-2-292-ekersan","Disk Balatası Mercedes Actros Axor | 42310/2-292 | sales-priority-1"
"128","product","https://www.frenciniz.com/urun/482/fren-balatasi-pwr-k003-pwr-k003-ekersan","Fren Balatası PWR K003 | PWR-K003 | sales-priority-1"
"129","product","https://www.frenciniz.com/urun/480/fren-balatasi-ford-cargo-2520-2621-pwr-k005-ekersan","Fren Balatası Ford Cargo 2520-2621 | PWR-K005 | sales-priority-1"
"130","product","https://www.frenciniz.com/urun/484/fren-balatasi-bpw-ecoplus-pwr-k001-ekersan","Fren Balatası BPW ECOPlus | PWR-K001 | sales-priority-1"
"131","product","https://www.frenciniz.com/urun/672/disk-balatasi-mercedes-actros-axor-42314-2-300-ekersan","Disk Balatası Mercedes Actros Axor | 42314/2-300 | sales-priority-1"
"132","product","https://www.frenciniz.com/urun/673/disk-balatasi-mercedes-actros-axor-42284-2-293-ekersan","Disk Balatası Mercedes Actros Axor | 42284/2-293 | sales-priority-1"
"133","product","https://www.frenciniz.com/urun/739/fren-balatasi-fruehauf-smb-pwr-5000-ekersan","Fren Balatası Fruehauf SMB | PWR-5000 | sales-priority-1"
"134","product","https://www.frenciniz.com/urun/730/fren-balatasi-saf-holland-pwr-5010-ekersan","Fren Balatası SAF Holland | PWR-5010 | sales-priority-1"
"135","product","https://www.frenciniz.com/urun/56/bijon-mercedes-actros-axor-dps-esb-180-20-ekersan","Bijon Mercedes Actros Axor Dps | ESB 180 20 | sales-priority-1"
"136","product","https://www.frenciniz.com/urun/373/bijon-saf-holland-73-mm-esb-1813-10-ekersan","Bijon SAF Holland 73 mm | ESB 1813 10 | sales-priority-1"
"137","product","https://www.frenciniz.com/urun/242/bijon-mercedes-actros-axor-esb-182-10-ekersan","Bijon Mercedes Actros Axor | ESB 182 10 | sales-priority-1"
"138","product","https://www.frenciniz.com/urun/377/bijon-bpw-ecoplus-dps-esb-1722-10-ekersan","Bijon BPW ECOPlus Dps | ESB 1722 10 | sales-priority-1"
"139","product","https://www.frenciniz.com/urun/384/bijon-scania-p-g-r-dps-esb-1426-10-ekersan","Bijon Scania P G R Dps | ESB 1426 10 | sales-priority-1"
"140","product","https://www.frenciniz.com/urun/327/disk-bijonu-mercedes-actros-axor-esb-4000-14-ekersan","Disk Bijonu Mercedes Actros Axor | ESB 4000 14 | sales-priority-1"
"141","product","https://www.frenciniz.com/urun/58/bijon-mercedes-actros-axor-dps-esb-180-10-ekersan","Bijon Mercedes Actros Axor Dps | ESB 180 10 | sales-priority-1"
"142","product","https://www.frenciniz.com/urun/329/disk-bijonu-mercedes-axor-esb-4000-10-ekersan","Disk Bijonu Mercedes Axor | ESB 4000 10 | sales-priority-1"
"143","product","https://www.frenciniz.com/urun/253/bijon-mercedes-actros-axor-110-mm-arka-esb-111-10-1-ekersan","Bijon Mercedes Actros Axor 110 mm Arka | ESB 111 10-1 | sales-priority-1"
"144","product","https://www.frenciniz.com/urun/255/bijon-mercedes-actros-axor-110-mm-dps-arka-esb-110-10-1-ekersan","Bijon Mercedes Actros Axor 110 mm DPS Arka | ESB 110 10-1 | sales-priority-1"
"145","product","https://www.frenciniz.com/urun/371/bijon-saf-holland-dps-esb-1816-10-ekersan","Bijon SAF Holland Dps | ESB 1816 10 | sales-priority-1"
"146","product","https://www.frenciniz.com/urun/288/bijon-scania-p-g-r-dps-esb-911-20-r-ekersan","Bijon Scania P G R Dps | ESB 911 20-R | sales-priority-1"
"147","product","https://www.frenciniz.com/urun/767/porya-mercedes-axor-on-esp-01-39-01-ekersan","Porya Mercedes Axor Ön | ESP.01.39.01 | sales-priority-1"
"148","product","https://www.frenciniz.com/urun/753/porya-ford-cargo-esp-08-08-ekersan","Porya Ford Cargo | ESP.08.08 | sales-priority-1"
"149","product","https://www.frenciniz.com/urun/752/porya-ford-cargo-on-esp-08-10-ekersan","Porya Ford Cargo Ön | ESP.08.10 | sales-priority-1"
"150","product","https://www.frenciniz.com/urun/655/porya-bpw-ecoplus-esp-16-16-02-ekersan","Porya BPW ECOPlus | ESP.16.16.02 | sales-priority-1"
"151","product","https://www.frenciniz.com/urun/493/porya-scania-p-g-r-esp-04-05-ekersan","Porya Scania P G R | ESP.04.05 | sales-priority-1"
"152","product","https://www.frenciniz.com/urun/743/porya-saf-holland-esp-18-13-ekersan","Porya SAF Holland | ESP.18.13 | sales-priority-1"
"153","product","https://www.frenciniz.com/urun/744/porya-saf-holland-esp-18-10-ekersan","Porya SAF Holland | ESP.18.10 | sales-priority-1"
"154","product","https://www.frenciniz.com/urun/478/porya-ford-cargo-on-esp-08-11-ekersan","Porya Ford Cargo Ön | ESP.08.11 | sales-priority-1"
"155","product","https://www.frenciniz.com/urun/665/fren-korugu-scania-p-g-r-8112-ekersan","Fren Körüğü Scania P G R | 8112 | sales-priority-1"
"156","product","https://www.frenciniz.com/urun/957/fren-korugu-mercedes-travego-tourismo-8125-ekersan","Fren Körüğü Mercedes Travego Tourismo | 8125 | sales-priority-1"
"157","product","https://www.frenciniz.com/urun/536/fren-korugu-saf-holland-arf-24-sfk-ekersan","Fren Körüğü SAF Holland | ARF 24 SFK | sales-priority-1"
"158","product","https://www.frenciniz.com/urun/552/fren-korugu-saf-holland-arf-16-sfk-ekersan","Fren Körüğü SAF Holland | ARF 16 SFK | sales-priority-1"
"159","product","https://www.frenciniz.com/urun/571/fren-korugu-saf-holland-arf-30-sfk-ekersan","Fren Körüğü SAF Holland | ARF 30 SFK | sales-priority-1"
"160","product","https://www.frenciniz.com/urun/959/fren-korugu-ford-cargo-8120-ekersan","Fren Körüğü Ford Cargo | 8120 | sales-priority-1"
"161","product","https://www.frenciniz.com/urun/471/fren-korugu-saf-holland-sag-arf-24-sfk-d-r-ekersan","Fren Körüğü SAF Holland SAĞ | ARF 24 SFK D - R | sales-priority-1"
"162","product","https://www.frenciniz.com/urun/972/fren-korugu-disk-imdatli-korugu-kampana-imdatli-korugu-korugu-64-mm-8122-1-ekersan","Fren Körüğü Disk imdatlı körüğü Kampana imdatlı körüğü körüğü 64 mm | 8122-1 | sales-priority-1"
"163","product","https://www.frenciniz.com/urun/51/otomatik-fren-circiri-mercedes-actros-axor-esc-80159-ekersan","Otomatik Fren Cırcırı Mercedes Actros Axor | ESC 80159 | sales-priority-1"
"164","product","https://www.frenciniz.com/urun/52/otomatik-fren-circiri-mercedes-actros-axor-esc-80158-ekersan","Otomatik Fren Cırcırı Mercedes Actros Axor | ESC 80158 | sales-priority-1"
"165","product","https://www.frenciniz.com/urun/408/fren-circiri-scania-p-g-r-esc-72877-ekersan","Fren Cırcırı Scania P G R | ESC 72877 | sales-priority-1"
"166","product","https://www.frenciniz.com/urun/407/fren-circiri-scania-p-g-r-esc-72878-ekersan","Fren Cırcırı Scania P G R | ESC 72878 | sales-priority-1"
"167","product","https://www.frenciniz.com/urun/28/fren-circiri-mercedes-travego-tourismo-on-r-l-esc-72209-ekersan","Fren Cırcırı Mercedes Travego Tourismo Ön R-L | ESC 72209 | sales-priority-1"
"168","product","https://www.frenciniz.com/urun/60/fren-circiri-fruehauf-smb-esc-114075-ekersan","Fren Cırcırı Fruehauf SMB | ESC 114075 | sales-priority-1"
"169","product","https://www.frenciniz.com/urun/409/fren-circiri-daf-xf-cf-esc-72855-ekersan","Fren Cırcırı DAF XF CF | ESC 72855 | sales-priority-1"
"170","product","https://www.frenciniz.com/urun/676/frencoo-kaliper-tamir-takimi-20-2390-ekersan","FRENCOO KALİPER TAMİR TAKIMI | 20-2390 | sales-priority-1"
"171","product","https://www.frenciniz.com/urun/518/rulman-yatagi-aci-0-113-mm-ch1178-ekersan","Rulman Yatagı Açı 0-113 mm | CH1178 | sales-priority-1"
"172","product","https://www.frenciniz.com/urun/525/sn6-sn7-sk7-na7-st7-rulman-yatagi-aci-0-113-mm-ch1044-ekersan","SN6/SN7/SK7/NA7/ST7 RULMAN YATAĞI AÇI 0-113 mm | CH1044 | sales-priority-1"
"173","product","https://www.frenciniz.com/urun/1047/kaliper-kopru-baglantisi-10-1151-ekersan","KALİPER KÖPRÜ BAĞLANTISI | 10-1151 | sales-priority-1"
"174","product","https://www.frenciniz.com/urun/1038/kaliper-mil-kece-tm-tk-10-1320-ekersan","KALİPER MİL-KEÇE TM.TK. | 10-1320 | sales-priority-1"
"175","product","https://www.frenciniz.com/urun/597/frencoo-kaliper-mil-kece-tm-tk-20-2380-ekersan","FRENCOO KALİPER MİL KEÇE TM.TK. | 20-2380 | sales-priority-1"
"176","product","https://www.frenciniz.com/urun/801/fren-pabucu-bpw-ecoplus-20-cm-eyd-80-03-ekersan","Fren Pabucu BPW ECOPlus 20 cm | EYD 80 03 | sales-priority-1"
"177","product","https://www.frenciniz.com/urun/846/fren-pabucu-renault-premium-magnum-kerax-midlum-volvo-fh-fh12-fm-fl-bmc-probus-profesyonel-eyd","Fren Pabucu Renault Premium Magnum Kerax Midlum Volvo FH FH12 FM FL BMC Probus Profesyonel | EYD 206 38 | sales-priority-1"
"178","product","https://www.frenciniz.com/urun/847/fren-pabucu-renault-premium-magnum-kerax-midlum-volvo-fh-fh12-fm-fl-bmc-probus-profesyonel-eyd","Fren Pabucu Renault Premium Magnum Kerax Midlum Volvo FH FH12 FM FL BMC Probus Profesyonel | EYD 206 37 | sales-priority-1"
"179","product","https://www.frenciniz.com/urun/800/fren-pabucu-bpw-ecoplus-18-cm-eyd-80-04-ekersan","Fren Pabucu BPW ECOPlus 18 cm | EYD 80 04 | sales-priority-1"
"180","product","https://www.frenciniz.com/urun/496/fren-pabucu-bpw-ecoplus-y-m-360-200-03-7100-300-031-00-ekersan","Fren Pabucu BPW ECOPlus Y.M 360 200 | 03.7100.300.031.00 | sales-priority-1"
