"id","category","sku","oem","demand_group","demand_rank","demand_add_on","old_name","seo_name","seo_title","seo_description","primary_query","secondary_queries","url","demand_landing","stock","price"
"11","Disk Bijonu/Civatası","ESB 242 10","","","","no","MAN TGA TGS TGX TGM Disk Bijonu","ESB 242 10 MAN TGA TGS TGX TGM Disk Bijonu","ESB 242 10 MAN TGA TGS TGX TGM Disk Bijonu | Frenciniz","ESB 242 10 MAN TGA TGS TGX TGM Disk Bijonu icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: MAN TGS, MAN TGA 18.430, MAN TGA 18.460. OEM/SKU: ESB 242 10....","ESB 242 10 MAN TGA TGS TGX TGM Disk Bijonu","MAN TGS Disk Bijonu/Civatası | MAN TGS ESB 242 10 | ESB 242 10 Disk Bijonu/Civatası | MAN TGA TGS TGX TGM Disk Bijonu","https://www.frenciniz.com/urun/11/esb-242-10-man-tga-tgs-tgx-tgm-disk-bijonu-ekersan","","400","186.93"
"12","Fren Diski","ESD 040 31","5010598309 - 20763234","","","no","Renault Premium Magnum Kerax Midlum D Serisi Fren Diski ESD 040 31","5010598309 Renault Premium Magnum Kerax Midlum D Serisi Fren Diski ESD 040 31","5010598309 Renault Premium Magnum Kerax Midlum D Serisi... | Frenciniz","5010598309 Renault Premium Magnum Kerax Midlum D Serisi Fren Diski ESD 040 31 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Volvo FL II/FL III...","5010598309 Renault Premium Magnum Kerax Midlum D Serisi Fren Diski ESD 040 31","Volvo FL II/FL III Fren Diski | Volvo FL II/FL III 5010598309 | 5010598309 Fren Diski | ESD 040 31 Fren Diski | Renault Premium Magnum Kerax Midlum D Serisi Fren Diski ESD 040 31","https://www.frenciniz.com/urun/12/5010598309-renault-premium-magnum-kerax-midlum-d-serisi-fren-diski-esd-040-31-ekersan","","49","5464.8"
"13","Fren Diski","ESD 040 30","20700508 - 5010598308","","","no","Renault Premium Magnum Kerax Midlum D Serisi Fren Diski ESD 040 30","20700508 Renault Premium Magnum Kerax Midlum D Serisi Fren Diski ESD 040 30","20700508 Renault Premium Magnum Kerax Midlum D Serisi Fren... | Frenciniz","20700508 Renault Premium Magnum Kerax Midlum D Serisi Fren Diski ESD 040 30 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Renault Trucks Midlum, Volvo...","20700508 Renault Premium Magnum Kerax Midlum D Serisi Fren Diski ESD 040 30","Renault Trucks Midlum Fren Diski | Renault Trucks Midlum 20700508 | 20700508 Fren Diski | ESD 040 30 Fren Diski | Renault Premium Magnum Kerax Midlum D Serisi Fren Diski ESD 040 30","https://www.frenciniz.com/urun/13/20700508-renault-premium-magnum-kerax-midlum-d-serisi-fren-diski-esd-040-30-ekersan","","32","5237.1"
"14","Fren Cırcırı","ESC 80168","","","","no","Mercedes Arocs Fren Cırcırı Sol Ön","ESC 80168 Mercedes Arocs Fren Cırcırı Sol Ön","ESC 80168 Mercedes Arocs Fren Cırcırı Sol Ön | Frenciniz","ESC 80168 Mercedes Arocs Fren Cırcırı Sol Ön icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Mercedes-Benz Arocs, Arocs 1842, Arocs 2636. OEM/SKU: ESC...","ESC 80168 Mercedes Arocs Fren Cırcırı Sol Ön","Mercedes-Benz Arocs Fren Cırcırı | Mercedes-Benz Arocs ESC 80168 | ESC 80168 Fren Cırcırı | Mercedes Arocs Fren Cırcırı Sol Ön","https://www.frenciniz.com/urun/14/esc-80168-mercedes-arocs-fren-circiri-sol-on-ekersan","","45","1452"
"15","Fren Cırcırı","ESC 80167","","","","no","Mercedes Arocs Fren Cırcırı Sağ Ön","ESC 80167 Mercedes Arocs Fren Cırcırı Sağ Ön","ESC 80167 Mercedes Arocs Fren Cırcırı Sağ Ön | Frenciniz","ESC 80167 Mercedes Arocs Fren Cırcırı Sağ Ön icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Mercedes-Benz Arocs, Arocs 1842, Arocs 2636. OEM/SKU: ESC...","ESC 80167 Mercedes Arocs Fren Cırcırı Sağ Ön","Mercedes-Benz Arocs Fren Cırcırı | Mercedes-Benz Arocs ESC 80167 | ESC 80167 Fren Cırcırı | Mercedes Arocs Fren Cırcırı Sağ Ön","https://www.frenciniz.com/urun/15/esc-80167-mercedes-arocs-fren-circiri-sag-on-ekersan","","51","1452"
"16","Bijon","ESB 919 10","1847739","","","no","Scania P G R Bijon 115 mm Özel Arka","1847739 Scania P G R Bijon 115 mm Özel Arka","1847739 Scania P G R Bijon 115 mm Özel Arka | Frenciniz","1847739 Scania P G R Bijon 115 mm Özel Arka icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Scania P/G/R serisi, Scania P serisi, Scania G420. OEM/SKU:...","1847739 Scania P G R Bijon 115 mm Özel Arka","Scania P/G/R serisi Bijon | Scania P/G/R serisi 1847739 | 1847739 Bijon | ESB 919 10 Bijon | Scania P G R Bijon 115 mm Özel Arka","https://www.frenciniz.com/urun/16/1847739-scania-p-g-r-bijon-115-mm-ozel-arka-ekersan","","380","218.55"
"17","Bijon","ESB 185 10","","","","no","Mercedes Axor Actros Bijon 120 mm Arka","ESB 185 10 Mercedes Axor Actros Bijon 120 mm Arka","ESB 185 10 Mercedes Axor Actros Bijon 120 mm Arka | Frenciniz","ESB 185 10 Mercedes Axor Actros Bijon 120 mm Arka icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Mercedes-Benz Axor, Mercedes-Benz Actros, Actros 1840....","ESB 185 10 Mercedes Axor Actros Bijon 120 mm Arka","Mercedes-Benz Axor Bijon | Mercedes-Benz Axor ESB 185 10 | ESB 185 10 Bijon | Mercedes Axor Actros Bijon 120 mm Arka","https://www.frenciniz.com/urun/17/esb-185-10-mercedes-axor-actros-bijon-120-mm-arka-ekersan","","460","201.82"
"18","Fren Kampanası","ESK 010 45","3014210801","","","no","Mercedes Axor Actros Fren Kampanası ESK 010 45","3014210801 Mercedes Axor Actros Fren Kampanası ESK 010 45","3014210801 Mercedes Axor Actros Fren Kampanası ESK 010 45 | Frenciniz","3014210801 Mercedes Axor Actros Fren Kampanası ESK 010 45 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Mercedes-Benz Actros, Mercedes-Benz Axor...","3014210801 Mercedes Axor Actros Fren Kampanası ESK 010 45","Mercedes-Benz Actros Fren Kampanası | Mercedes-Benz Actros 3014210801 | 3014210801 Fren Kampanası | ESK 010 45 Fren Kampanası | Mercedes Axor Actros Fren Kampanası ESK 010 45","https://www.frenciniz.com/urun/18/3014210801-mercedes-axor-actros-fren-kampanasi-esk-010-45-ekersan","","118","5360.01"
"19","Otomatik Fren Cırcırı","ESC 79167","72318-44092-42795-2795-5000791212","","","no","Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79167","72318 Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79167","72318 Renault Premium Magnum Kerax Midlum D Serisi... | Frenciniz","72318 Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79167 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Renault Trucks...","72318 Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79167","Renault Trucks Midlum Otomatik Fren Cırcırı | Renault Trucks Midlum 72318 | 72318 Otomatik Fren Cırcırı | ESC 79167 Otomatik Fren Cırcırı | Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79167","https://www.frenciniz.com/urun/19/72318-renault-premium-magnum-kerax-midlum-d-serisi-otomatik-fren-circiri-esc-79167-ekersan","","15","1452"
"20","Bijon","ESB 670 10","42117459","","","no","Ford Cargo Bijon DPS ESB 670 10","42117459 Ford Cargo Bijon DPS ESB 670 10","42117459 Ford Cargo Bijon DPS ESB 670 10 | Frenciniz","42117459 Ford Cargo Bijon DPS ESB 670 10 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Iveco Eurocargo, Iveco Eurotech, Iveco Stralis. OEM/SKU:...","42117459 Ford Cargo Bijon DPS ESB 670 10","Iveco Eurocargo Bijon | Iveco Eurocargo 42117459 | 42117459 Bijon | ESB 670 10 Bijon | Ford Cargo Bijon DPS ESB 670 10","https://www.frenciniz.com/urun/20/42117459-ford-cargo-bijon-dps-esb-670-10-ekersan","","560","199.31"
"21","Bijon","ESB 784 11-L","","","","no","Isuzu NPR NQR Mitsubishi Canter Fuso Bijon Sol Arka ESB 784 11-L","Isuzu NPR NQR Mitsubishi Canter Fuso Bijon Sol Arka ESB 784 11-L","Isuzu NPR NQR Mitsubishi Canter Fuso Bijon Sol Arka ESB... | Frenciniz","Isuzu NPR NQR Mitsubishi Canter Fuso Bijon Sol Arka ESB 784 11-L icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Mitsubishi Canter, Mitsubishi Fuso...","Isuzu NPR NQR Mitsubishi Canter Fuso Bijon Sol Arka ESB 784 11-L","Mitsubishi Canter Bijon | Mitsubishi Canter ESB 784 11-L | ESB 784 11-L Bijon","https://www.frenciniz.com/urun/21/isuzu-npr-nqr-mitsubishi-canter-fuso-bijon-sol-arka-esb-784-11-l-ekersan","","1096","175.95"
"22","Bijon","ESB 784 10-R","","","","no","Isuzu NPR NQR Mitsubishi Canter Fuso Bijon Sağ Arka ESB 784 10-R","Isuzu NPR NQR Mitsubishi Canter Fuso Bijon Sağ Arka ESB 784 10-R","Isuzu NPR NQR Mitsubishi Canter Fuso Bijon Sağ Arka ESB... | Frenciniz","Isuzu NPR NQR Mitsubishi Canter Fuso Bijon Sağ Arka ESB 784 10-R icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Mitsubishi Canter, Mitsubishi Fuso...","Isuzu NPR NQR Mitsubishi Canter Fuso Bijon Sağ Arka ESB 784 10-R","Mitsubishi Canter Bijon | Mitsubishi Canter ESB 784 10-R | ESB 784 10-R Bijon","https://www.frenciniz.com/urun/22/isuzu-npr-nqr-mitsubishi-canter-fuso-bijon-sag-arka-esb-784-10-r-ekersan","","1596","175.95"
"23","Fren Kampanası","ESK 230 28","310977340","","","no","Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Kampanası ESK 230 28","310977340 Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Kampanası ESK 230 28","310977340 Ford Cargo BPW Dorse Krone Dorse Kögel Dorse... | Frenciniz","310977340 Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Kampanası ESK 230 28 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: BPW dorse dingili, BPW...","310977340 Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Kampanası ESK 230 28","BPW dorse dingili Fren Kampanası | BPW dorse dingili 310977340 | 310977340 Fren Kampanası | ESK 230 28 Fren Kampanası | Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Kampanası ESK 230 28","https://www.frenciniz.com/urun/23/310977340-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-fren-kampanasi-esk-230-28-ekersan","","12","6004.6"
"24","Disk Bijonu/Civatası","ESB 4000 13","","","","no","Mercedes Axor Disk Bijonu","ESB 4000 13 Mercedes Axor Disk Bijonu","ESB 4000 13 Mercedes Axor Disk Bijonu | Frenciniz","ESB 4000 13 Mercedes Axor Disk Bijonu icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Mercedes-Benz Axor, Axor 1840, Axor 1843. OEM/SKU: ESB 4000 13....","ESB 4000 13 Mercedes Axor Disk Bijonu","Mercedes-Benz Axor Disk Bijonu/Civatası | Mercedes-Benz Axor ESB 4000 13 | ESB 4000 13 Disk Bijonu/Civatası | Mercedes Axor Disk Bijonu","https://www.frenciniz.com/urun/24/esb-4000-13-mercedes-axor-disk-bijonu-ekersan","","2486","73.46"
"25","Fren Kampanası","ESK 290 03","1064010801-1064012801","","","no","Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Fren Kampanası ESK 290 03","1064010801-1064012801 Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Fren Kampanası ESK 290 03","1064010801-1064012801 Ford Cargo SAF Dorse Krone Dorse... | Frenciniz","1064010801-1064012801 Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Fren Kampanası ESK 290 03 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: SAF dorse...","1064010801-1064012801 Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Fren Kampanası ESK 290 03","SAF dorse dingili Fren Kampanası | SAF dorse dingili 1064010801-1064012801 | 1064010801-1064012801 Fren Kampanası | ESK 290 03 Fren Kampanası | Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Fren Kampanası ESK 290 03","https://www.frenciniz.com/urun/25/1064010801-1064012801-ford-cargo-saf-dorse-krone-dorse-kogel-dorse-fren-kampanasi-esk-290-03","","4","4724.32"
"26","Fren Cırcırı","ESC 70953","4175020800-44015520-21229251-21222874-41120-16104-9251-96-1120-52305","","","no","BMC Fren Cırcırı Sol","4175020800 BMC Fren Cırcırı Sol","4175020800 BMC Fren Cırcırı Sol | Frenciniz","4175020800 BMC Fren Cırcırı Sol icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: BMC Probus, BMC Profesyonel, BMC Fatih. OEM/SKU: 4175020800. Stokta...","4175020800 BMC Fren Cırcırı Sol","BMC Probus Fren Cırcırı | BMC Probus 4175020800 | 4175020800 Fren Cırcırı | ESC 70953 Fren Cırcırı | BMC Fren Cırcırı Sol","https://www.frenciniz.com/urun/26/4175020800-bmc-fren-circiri-sol-ekersan","","1","1452"
"27","Otomatik Fren Cırcırı","ESC 72675","42115-2115-72109-281090-159558","","","no","Otomatik Fren Cırcırı Otomatik Fren Cırcırı ESC 72675","42115 Otomatik Fren Cırcırı Otomatik Fren Cırcırı ESC 72675","42115 Otomatik Fren Cırcırı Otomatik Fren Cırcırı ESC 72675 | Frenciniz","42115 Otomatik Fren Cırcırı Otomatik Fren Cırcırı ESC 72675 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Ağır vasıta. OEM/SKU: 42115. Stokta urun...","42115 Otomatik Fren Cırcırı Otomatik Fren Cırcırı ESC 72675","kamyon Otomatik Fren Cırcırı | kamyon 42115 | 42115 Otomatik Fren Cırcırı | ESC 72675 Otomatik Fren Cırcırı | Otomatik Fren Cırcırı Otomatik Fren Cırcırı ESC 72675","https://www.frenciniz.com/urun/27/42115-otomatik-fren-circiri-otomatik-fren-circiri-esc-72675-ekersan","","37","1452"
"28","Fren Cırcırı","ESC 72209","3574200538-72059-42040-14707-14708-2040-4731188","","","no","Mercedes Travego Tourismo Fren Cırcırı Ön R-l","3574200538 Mercedes Travego Tourismo Fren Cırcırı Ön R-l","3574200538 Mercedes Travego Tourismo Fren Cırcırı Ön R-l | Frenciniz","3574200538 Mercedes Travego Tourismo Fren Cırcırı Ön R-l icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Mercedes-Benz Travego, Mercedes-Benz Tourismo...","3574200538 Mercedes Travego Tourismo Fren Cırcırı Ön R-l","Mercedes-Benz Travego Fren Cırcırı | Mercedes-Benz Travego 3574200538 | 3574200538 Fren Cırcırı | ESC 72209 Fren Cırcırı | Mercedes Travego Tourismo Fren Cırcırı Ön R-l","https://www.frenciniz.com/urun/28/3574200538-mercedes-travego-tourismo-fren-circiri-on-r-l-ekersan","","30","1452"
"29","Bijon","ESB 3100 10","Yte Dingil (Öztreyler)","","","no","Ford Cargo Krone Dorse Kögel Dorse Bijon ESB 3100 10","Ford Cargo Krone Dorse Kögel Dorse Bijon ESB 3100 10","Ford Cargo Krone Dorse Kögel Dorse Bijon ESB 3100 10 | Frenciniz","Ford Cargo Krone Dorse Kögel Dorse Bijon ESB 3100 10 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Dorse / treyler, Ağır vasıta dorse dingili, York /...","Ford Cargo Krone Dorse Kögel Dorse Bijon ESB 3100 10","Dorse / treyler Bijon | Dorse / treyler ESB 3100 10 | ESB 3100 10 Bijon","https://www.frenciniz.com/urun/29/ford-cargo-krone-dorse-kogel-dorse-bijon-esb-3100-10-ekersan","","20","199.31"
"30","Bijon","ESB 612 10","7168333","","","no","Ford Cargo Bijon DPS ESB 612 10","7168333 Ford Cargo Bijon DPS ESB 612 10","7168333 Ford Cargo Bijon DPS ESB 612 10 | Frenciniz","7168333 Ford Cargo Bijon DPS ESB 612 10 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Iveco Eurocargo, Iveco Eurotech, Iveco Stralis. OEM/SKU:...","7168333 Ford Cargo Bijon DPS ESB 612 10","Iveco Eurocargo Bijon | Iveco Eurocargo 7168333 | 7168333 Bijon | ESB 612 10 Bijon | Ford Cargo Bijon DPS ESB 612 10","https://www.frenciniz.com/urun/30/7168333-ford-cargo-bijon-dps-esb-612-10-ekersan","","344","134.7"
"31","Bijon","ESB 425 10","","","","no","Ford Cargo Bijon 115 mm","ESB 425 10 Ford Cargo Bijon 115 mm","ESB 425 10 Ford Cargo Bijon 115 mm | Frenciniz","ESB 425 10 Ford Cargo Bijon 115 mm icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Ford Cargo, Ford Cargo 1846, Ford Cargo 3230. OEM/SKU: ESB 425 10....","ESB 425 10 Ford Cargo Bijon 115 mm","Ford Cargo Bijon | Ford Cargo ESB 425 10 | ESB 425 10 Bijon | Ford Cargo Bijon 115 mm","https://www.frenciniz.com/urun/31/esb-425-10-ford-cargo-bijon-115-mm-ekersan","","1050","218.55"
